,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,Early OPS,OPS Diff
451,Kolten Wong,32,123,"Maj-AL,Maj-NL","Los Angeles,Seattle",87,250,224,25,41,6,0,4,27,18,0,53,5,0,3,1,3,2,0.183,0.256,0.263,0.519,543939,0.439,0.08000000000000002
425,Alex Verdugo,27,123,Maj-AL,Boston,142,602,546,81,144,37,5,13,54,45,1,93,6,0,5,11,5,3,0.264,0.324,0.421,0.745,657077,0.825,0.07999999999999996
37,Josh Bell,30,124,"Maj-AL,Maj-NL","Cleveland,Miami",150,617,547,52,135,28,0,22,74,63,2,134,2,0,3,13,0,1,0.247,0.325,0.419,0.744,605137,0.664,0.07999999999999996
26,Akil Baddoo,24,123,Maj-AL,Detroit,112,357,312,40,68,13,1,11,34,42,2,89,0,2,1,4,14,3,0.218,0.31,0.372,0.682,668731,0.762,0.07999999999999996
289,Edward Olivares,27,123,Maj-AL,Kansas City,107,385,354,47,93,23,4,12,36,22,1,64,7,0,2,7,11,5,0.263,0.317,0.452,0.769,658668,0.691,0.07800000000000007
42,Jon Berti,33,123,Maj-NL,Miami,133,424,388,53,114,16,3,7,33,29,2,77,2,2,3,10,16,6,0.294,0.344,0.405,0.748,542932,0.67,0.07799999999999996
372,Donovan Solano,35,123,Maj-AL,Minnesota,134,450,394,43,111,26,1,5,38,40,1,100,15,0,1,8,0,0,0.282,0.369,0.391,0.76,456781,0.682,0.07799999999999996
70,Mark Canha,34,123,Maj-NL,"Milwaukee,New York",139,507,435,51,114,25,1,11,62,49,1,79,17,0,6,11,11,1,0.262,0.355,0.4,0.755,592192,0.678,0.07699999999999996
159,Yasmani Grandal,34,123,Maj-AL,Chicago,118,405,363,33,85,14,0,8,33,36,1,86,4,0,2,11,0,0,0.234,0.309,0.339,0.647,518735,0.723,0.07599999999999996
168,Eric Haase,30,155,Maj-AL,"Cleveland,Detroit",89,293,274,22,55,8,1,4,26,17,1,81,0,1,1,11,4,1,0.201,0.247,0.281,0.528,606992,0.604,0.07599999999999996
281,Ryan Noda,27,123,Maj-AL,Oakland,128,495,406,63,93,22,1,16,54,77,1,170,10,0,2,4,3,1,0.229,0.364,0.406,0.77,676116,0.845,0.07499999999999996
347,Blake Sabol,25,123,Maj-NL,San Francisco,110,344,310,36,73,10,0,13,44,24,0,117,6,2,2,4,4,2,0.236,0.301,0.394,0.695,666165,0.769,0.07400000000000007
454,Christian Yelich,31,123,Maj-NL,Milwaukee,144,632,550,106,153,34,1,19,76,78,7,140,3,0,1,15,28,3,0.278,0.37,0.447,0.818,592885,0.744,0.07399999999999995
