Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Nick Allen,24,242,Maj-AL,Oakland,38,111,102,9,20,1,0,1,3,6,0,18,0,3,0,2,0,0,0.196,0.241,0.235,0.476,669397
Pete Alonso,28,224,Maj-NL,New York,67,283,249,43,56,6,1,23,51,29,0,59,5,0,0,7,2,0,0.225,0.318,0.534,0.852,624413
Jos\xc3\xa9 Altuve,33,224,Maj-AL,Houston,25,109,94,16,23,7,0,3,10,13,0,19,1,0,1,4,4,1,0.245,0.339,0.415,0.754,514888
Jake Alu,26,260,Maj-NL,Washington,4,14,13,0,3,0,0,0,0,1,0,3,0,0,0,0,1,0,0.231,0.286,0.231,0.517,666906
Francisco \xc3\x81lvarez,21,224,Maj-NL,New York,52,178,166,23,38,7,0,12,25,10,0,44,2,0,0,6,0,0,0.229,0.281,0.488,0.769,682626
Yordan \xc3\x81lvarez,26,239,Maj-AL,Houston,57,242,202,41,56,12,0,17,55,32,2,55,6,0,2,5,0,0,0.277,0.388,0.589,0.978,670541
Jacob Amaya,24,227,Maj-NL,Miami,3,6,6,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.333,0.333,0.333,0.667,676070
Miguel Amaya,24,226,Maj-NL,Chicago,16,52,40,6,10,1,0,2,6,3,0,12,7,1,1,1,0,0,0.25,0.392,0.425,0.817,665804
Brian Anderson,30,224,Maj-NL,Milwaukee,72,282,242,31,54,10,1,9,34,34,0,78,4,0,2,6,0,3,0.223,0.326,0.384,0.711,605119
Tim Anderson,30,224,Maj-AL,Chicago,53,225,212,21,52,9,0,0,11,12,0,42,0,0,1,7,8,1,0.245,0.284,0.288,0.572,641313
Elvis Andrus,34,224,Maj-AL,Chicago,54,205,184,17,37,6,0,2,16,16,1,36,3,1,1,0,6,3,0.201,0.275,0.266,0.541,462101
Miguel And\xc3\xbajar,28,261,Maj-NL,Pittsburgh,13,33,31,2,5,1,0,2,6,2,0,5,0,0,0,0,0,0,0.161,0.212,0.387,0.599,609280
Orlando Arcia,28,224,Maj-NL,Atlanta,54,209,191,32,63,10,0,6,26,17,0,42,1,0,0,8,1,0,0.33,0.388,0.476,0.864,606115
Nolan Arenado,32,226,Maj-NL,St. Louis,72,309,283,33,77,10,2,15,50,21,2,59,1,0,4,10,2,3,0.272,0.32,0.481,0.801,571448
Gabriel Arias,23,224,Maj-AL,Cleveland,57,147,127,12,25,5,0,4,6,20,0,49,0,0,0,4,0,2,0.197,0.306,0.331,0.637,672356
Randy Arozarena,28,224,Maj-AL,Tampa Bay,75,323,266,47,79,9,1,14,54,43,0,76,11,0,3,3,9,7,0.297,0.412,0.496,0.908,668227
Luis Arr\xc3\xa1ez,26,224,Maj-NL,Miami,71,299,271,33,109,15,1,2,35,22,6,15,4,0,2,12,1,2,0.402,0.452,0.487,0.939,650333
Christian Arroyo,28,224,Maj-AL,Boston,42,134,125,18,32,10,0,3,17,6,0,31,1,1,1,5,1,1,0.256,0.293,0.408,0.701,624414
Jos\xc3\xa9 Azocar,27,246,Maj-NL,San Diego,26,55,51,8,12,2,0,0,3,1,0,11,0,3,0,0,6,1,0.235,0.25,0.275,0.525,640492
Akil Baddoo,24,238,Maj-AL,Detroit,50,168,143,17,33,7,0,3,16,24,2,34,0,1,0,1,6,1,0.231,0.341,0.343,0.684,668731
Harrison Bader,29,224,Maj-AL,New York,30,107,102,15,25,0,2,6,19,3,0,13,1,0,1,1,7,2,0.245,0.271,0.461,0.732,664056
Ji Hwan Bae,23,224,Maj-NL,Pittsburgh,70,226,203,35,50,9,0,2,18,17,0,52,2,3,1,2,20,6,0.246,0.309,0.32,0.63,678225
Javier B\xc3\xa1ez,30,224,Maj-AL,Detroit,70,295,276,29,65,10,3,5,37,12,0,64,4,0,2,7,6,0,0.236,0.276,0.348,0.623,595879
Patrick Bailey,24,224,Maj-NL,San Francisco,27,99,91,11,30,7,1,4,22,4,0,25,1,2,1,2,0,0,0.33,0.361,0.56,0.921,672275
Luken Baker,26,234,Maj-NL,St. Louis,4,14,14,1,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0.286,0.286,0.286,0.571,663609
Rylan Bannon,27,278,Maj-AL,Houston,2,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676625
Austin Barnes,33,230,Maj-NL,Los Angeles,30,96,84,4,9,2,0,0,5,10,0,23,1,0,1,3,2,1,0.107,0.208,0.131,0.339,605131
Tucker Barnhart,32,227,Maj-NL,Chicago,31,91,79,3,14,1,0,1,5,10,0,30,1,0,1,3,1,0,0.177,0.275,0.228,0.503,571466
Tres Barrera,28,254,Maj-NL,St. Louis,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668663
Jos\xc3\xa9 Barrero,25,233,Maj-NL,Cincinnati,46,149,133,15,29,8,0,2,17,15,0,44,0,0,1,1,3,2,0.218,0.295,0.323,0.619,676480
Joey Bart,26,261,Maj-NL,San Francisco,26,84,78,8,18,5,0,0,4,2,0,21,4,0,0,0,0,0,0.231,0.286,0.295,0.581,663698
Brett Baty,23,224,Maj-NL,New York,52,193,173,22,41,7,0,4,20,18,0,48,1,0,1,6,1,0,0.237,0.311,0.347,0.658,683146
Jake Bauers,27,224,Maj-AL,New York,42,127,110,15,25,9,0,6,16,15,0,36,0,0,2,3,2,0,0.227,0.315,0.473,0.788,641343
Matt Beaty,30,226,"Maj-AL,Maj-NL","Kansas City,San Francisco",7,11,10,1,3,1,0,0,3,1,0,2,0,0,0,0,0,0,0.3,0.364,0.4,0.764,607461
Josh Bell,30,224,Maj-AL,Cleveland,68,276,240,15,55,14,0,7,32,34,1,60,0,0,2,2,0,1,0.229,0.323,0.375,0.698,605137
Cody Bellinger,27,226,Maj-NL,Chicago,43,185,163,31,41,10,1,7,22,16,2,38,2,0,4,2,10,2,0.252,0.319,0.454,0.773,641355
Brandon Belt,35,224,Maj-AL,Toronto,50,188,160,18,42,14,0,4,16,27,1,71,1,0,0,3,0,0,0.263,0.372,0.425,0.797,474832
Anthony Bemboom,33,224,Maj-AL,Baltimore,3,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.25,0.0,0.25,621532
Andrew Benintendi,28,224,Maj-AL,Chicago,72,294,265,34,73,19,1,1,18,24,5,43,3,1,1,3,9,1,0.276,0.341,0.366,0.707,643217
